Name,Role,Position,Year,AVG,OBP,SLG,OPS,RBI,HR,IP,ERA,WIN,WHIP,SO
kim,hitter,left,2018,0.362,0.415,0.589,1.004,101,20,X,X,X,X,X
kim,hitter,left,2019,0.304,0.37,0.437,0.807,82,11,X,X,X,X,X
kim,hitter,left,2020,0.331,0.397,0.523,0.92,119,22,X,X,X,X,X
kim,hitter,left,2021,0.285,0.377,0.435,0.811,96,17,X,X,X,X,X
kim,hitter,left,2022,0.286,0.375,0.473,0.848,106,23,X,X,X,X,X
kim,hitter,left,2023,0.293,0.364,0.383,0.747,88,6,X,X,X,X,X
park,hitter,middle,2022,0.289,0.347,0.368,0.715,49,3,X,X,X,X,X
park,hitter,middle,2023,0.285,0.348,0.359,0.707,59,6,X,X,X,X,X
hong,hitter,middle,2020,0.279,0.411,0.417,0.828,39,5,X,X,X,X,X
hong,hitter,middle,2021,0.328,0.456,0.408,0.864,52,4,X,X,X,X,X
hong,hitter,right,2022,0.286,0.39,0.355,0.745,51,1,X,X,X,X,X
hong,hitter,right,2023,0.332,0.444,0.412,0.856,65,1,X,X,X,X,X
moon,hitter,3,2021,0.23,0.337,0.363,0.7,39,8,X,X,X,X,X
moon,hitter,3,2022,0.315,0.382,0.451,0.833,56,9,X,X,X,X,X
moon,hitter,3,2023,0.301,0.377,0.448,0.825,72,10,X,X,X,X,X
kimMin,hitter,3,2019,0.26,0.323,0.371,0.694,50,8,X,X,X,X,X
kimMin,hitter,3,2020,0.266,0.325,0.384,0.709,47,5,X,X,X,X,X
kimMin,hitter,3,2021,0.222,0.313,0.35,0.663,39,8,X,X,X,X,X
kimMin,hitter,3,2022,0.207,0.273,0.3,0.573,20,3,X,X,X,X,X
kimMin,hitter,3,2023,0.249,0.326,0.377,0.703,41,8,X,X,X,X,X
OG,hitter,shortstop,2012,0.249,0.331,0.383,0.714,53,12,X,X,X,X,X
OG,hitter,shortstop,2013,0.256,0.347,0.399,0.746,47,9,X,X,X,X,X
OG,hitter,shortstop,2014,0.262,0.354,0.413,0.767,56,8,X,X,X,X,X
OG,hitter,shortstop,2015,0.278,0.357,0.443,0.8,56,11,X,X,X,X,X
OG,hitter,shortstop,2016,0.28,0.387,0.494,0.881,78,20,X,X,X,X,X
OG,hitter,shortstop,2017,0.272,0.363,0.407,0.77,39,8,X,X,X,X,X
OG,hitter,shortstop,2018,0.278,0.354,0.396,0.75,71,11,X,X,X,X,X
OG,hitter,shortstop,2019,0.252,0.339,0.378,0.717,53,9,X,X,X,X,X
OG,hitter,shortstop,2020,0.3,0.362,0.461,0.823,71,10,X,X,X,X,X
OG,hitter,shortstop,2021,0.254,0.335,0.356,0.691,57,8,X,X,X,X,X
OG,hitter,shortstop,2022,0.269,0.357,0.47,0.827,87,25,X,X,X,X,X
OG,hitter,shortstop,2023,0.268,0.371,0.396,0.767,62,8,X,X,X,X,X
SeoGun,hitter,2,2021,0.254,0.35,0.344,0.694,52,6,X,X,X,X,X
SeoGun,hitter,2,2022,0.224,0.299,0.306,0.605,18,2,X,X,X,X,X
SeoGun,hitter,2,2023,0.2,0.26,0.282,0.542,12,0,X,X,X,X,X
SinMinJae,hitter,2,2023,0.277,0.344,0.309,0.653,28,0,X,X,X,X,X
Ostean,hitter,1,2023,0.313,0.376,0.517,0.893,95,23,X,X,X,X,X
ParkDongWon,hitter,catcher,2023,0.249,0.334,0.443,0.777,75,20,X,X,X,X,X
Leem,Pitcher,starting pitcher,2017,X,X,X,X,X,X,124,4.63,6,1.43,113
Leem,Pitcher,starting pitcher,2018,X,X,X,X,X,X,146,5.77,11,1.65,125
